id_contrato,anio,entidad,subtipo_cps,rol_objeto,senales_familia,descripcion_del_proceso,url_secop,version_clasificacion,decision_cps_manual,subtipo_manual,evidencia_url,revisor,fecha_revision
CO1.PCCNTR.2567134,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Sin rol,,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA FORTALECER LAS POLITICAS DE GESTION Y DESEMPEÑO INSTITUCIONAL DEL MIPG; EN LA SECRETARIA DE SALUD EN DESARROLLO DEL PROYECTO FORTALECIMIENTO INSTITUCIONAL Y MEJORAMIENTO CONTINUO DE LOS PROCESOS Y LAS POLITICAS DE GESTION Y DESEMPEÑO INSTITUCIONAL D,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2016895&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2572426,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Apoyo a la gestión,,PRESTACIÒN DE SERVICIOS DE APOYO A LA GESTIÒN COMO BACHILLER; PARA FORTALECER LAS POLÌTICAS DE GESTIÒN Y DESEMPEÑO INSTITUCIONAL DEL MIPG; EN LA SECRETARIA DE TIC CIENCIA E INNOVACIÒN; EN  DESARROLLO DEL PROYECTO FORTALECIMIENTO INSTITUCIONAL Y MEJORAMIENTO CONTINUO DE LOS PROCESOS Y LAS POLÌTICAS D,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2021537&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2607722,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Sin rol,,PRESTACIÓN DE SERVICIOS COOMO APOYO A LA GESTIÓN EN DESARROLLO DEL PROYECTO ACTUALIZACIÓN DE LA NOMENCLATURA DEL DISTRITO DE BARRANCABERMEJA; SANTANDER.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2047844&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2613960,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Sin rol,,PRESTACIÓN DE SERVICIOS DE  APOYO A LA GESTIÓN  PARA FORTALECER LAS POLÍTICA  DE GESTIÓN DOCUMENTAL  DEL MIPG EN LA SECRETARÍA DE PLANEACIÓN; EN DESARROLLO DE LA ACTIVIDAD 1 DEL  PROYECTO FORTALECIMIENTO INSTITUCIONAL Y MEJORAMIENTO CONTINUO DE LOS PROCESOS Y LAS POLÍTICAS DE GESTIÓN Y DESEMPEÑO INS,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2051876&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2711861,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Apoyo a la gestión,,PRESTAR SUS SERVICIOS COMO MONITOR APOYANDO LOS PROCESOS DE INSTRUCCION Y ORIENTACION EN EL AREA DE MUSICA VALLENATA EN EL PROGRAMA DE ESCUELAS DE FORMACION ARTISTICA Y CULTURAL EN VIRTUD DE LAS ACTIVIDADES DEL PROYECTO APOYO AL DESARROLLO DE ACCIONES PARA IMPLEMENTAR EL PROGRAMA DE APOYO; PROMOCION,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2131851&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2714494,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Apoyo a la gestión,,PRESTACIÓN DE SERVICIOS COMO APOYO A LA GESTIÓN COMO BACHILLER; PARA FORTALECER LA POLÍTICA DE GESTIÓN ESTRATÉGICA DE TALENTO HUMANO DEL MIPG ; DESDE LA SECRETARIA DE TALENTO HUMANO GRUPO RELACIONAMIENTO CON EL CIUDADANO ;EN DESARROLLO DE LA ACTIVIDAD 1 DEL PROYECTO FORTALECIMIENTO INSTITUCIONAL Y M,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2133792&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2736330,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Sin rol,,PRESTAR SERVICIOS DE APOYO A LA GESTION BRINDANDO ACOMPAÑAMIENTO A LAS ACCIONES DE ATENCION Y EMPODERAMIENTO DE LA POBLACION CON DISCAPACIDAD FISICA EN EL DISTRITO DE BARRANCABERMEJA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2153074&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2791533,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Sin rol,,PRESTAR SERVICIOS COMO APOYO A LA GESTION PARA LA EJECUCIÓN Y ACOMPAÑAMIENTO DE CAMPAÑAS Y ACTIVIDADES DE CONVIVENCIA EN EL MARCO DEL PROYECTO APOYO A LA PROMOCIÓN DE ENTORNOS SEGUROS PARA LA CONVIVENCIA Y SEGURIDAD CIUDADANA EN EL DISTRITO DE BARRANCABERMEJA.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2197619&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2796987,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Sin rol,,PRESTAR SERVICIOS COMO APOYO A LA GESTION PARA REALIZAR ACTIVIDADES DE FORTALECIMIENTO DE LA CULTURA Y CONVIVENCIA CIUDADANA EN EL MARCO DEL PROYECTO APOYO A LA PROMOCIÓN DE ENTORNOS SEGUROS PARA LA CONVIVENCIA Y SEGURIDAD CIUDADANA EN EL DISTRITO DE BARRANCABERMEJA.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2201894&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
CO1.PCCNTR.2836963,2021,Alcaldía Distrital de Barrancabermeja,Apoyo a la gestión,Sin rol,obra,PRESTACIÓN DE SERVICIOS COMO APOYO A LA GESTIÓN PARA EL MANTENIMIENTO DE REDES Y SISTEMAS ELÉCTRICOS EN ACOMPAÑAMIENTO AL GRUPO DE CONSTRUCCIÓN DE LA SECRETARÍA DE INFRAESTRUCTURA EN DESARROLLO DEL PROYECTO DE FORTALECIMIENTO INSTITUCIONAL Y MEJORAMIENTO CONTINUO DE LOS PROCESOS Y LAS POLÍTICAS DE G,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2235860&isFromPublicArea=True&isModal=true&asPopupView=true,03.v2.1,,,,,
